N,time,rrmse,success-prob
67,3.715808919225468,-0.7361162342961997,0.065
68,3.7712687538407734,-0.7561744299918275,0.07
69,3.826728588456079,-0.7684966462345791,0.073
70,3.882188423071385,-0.7733971427923934,0.074
71,3.93764825768669,-0.7930761206073764,0.079
72,3.9931080923019957,-0.7979754483887451,0.08
73,4.048567926917301,-0.8025628307551833,0.081
74,4.104027761532607,-0.8073043702957732,0.082
75,4.159487596147913,-0.8189416724863654,0.085
76,4.2149474307632175,-0.8306108992692893,0.088
77,4.270407265378523,-0.842127364898607,0.091
78,4.325867099993829,-0.8469104389083396,0.092
79,4.381326934609135,-0.8582651125348234,0.095
80,4.436786769224439,-0.8695518737946811,0.098
81,4.492246603839745,-0.8810319079635465,0.101
82,4.547706438455051,-0.8889036463397729,0.103
83,4.603166273070356,-0.9042445119676774,0.107
84,4.658626107685662,-0.9269121211843708,0.113
85,4.714085942300967,-0.9570616362536911,0.121
86,4.769545776916273,-0.9687530504221044,0.124
87,4.825005611531578,-0.9989171583435533,0.132
88,4.880465446146884,-1.010614877467403,0.135
89,4.93592528076219,-1.0297091021299056,0.14
90,4.991385115377494,-1.0486257080916326,0.145
91,5.0468449499928,-1.0674547191532797,0.15
92,5.102304784608106,-1.0899497655667163,0.156
93,5.1577646192234115,-1.101542738636133,0.159
94,5.213224453838717,-1.1355275011947292,0.168
95,5.268684288454022,-1.1692329016939786,0.177
96,5.324144123069328,-1.1993026213297795,0.185
97,5.379603957684633,-1.2216533967208385,0.191
98,5.435063792299939,-1.2406236544352836,0.196
99,5.490523626915245,-1.2744684607848076,0.205
100,5.545983461530549,-1.3122287469087672,0.215
101,5.601443296145855,-1.3463612026968956,0.224
102,5.656903130761161,-1.3765420408166185,0.232
103,5.7123629653764665,-1.4141291908451465,0.242
104,5.767822799991772,-1.4328141535833931,0.247
105,5.823282634607077,-1.4744887999626048,0.258
106,5.878742469222383,-1.5125717007135475,0.268
107,5.934202303837688,-1.5499468105559981,0.278
108,5.989662138452994,-1.5688467565436068,0.283
109,6.0451219730683,-1.5952171769396748,0.29
110,6.100581807683605,-1.6326575919441761,0.3
111,6.15604164229891,-1.662767892017598,0.308
112,6.211501476914216,-1.7004217798969166,0.318
113,6.2669613115295215,-1.738075890475213,0.328
114,6.322421146144827,-1.786659364967294,0.341
115,6.377880980760133,-1.8427850300504596,0.356
116,6.433340815375437,-1.876694584814593,0.365
117,6.4888006499907425,-1.903492619057227,0.372
118,6.544260484606048,-1.9485460446087977,0.384
119,6.599720319221354,-1.9784409160349028,0.392
120,6.6551801538366595,-2.0085453636454367,0.4
121,6.710639988451964,-2.0497206818057014,0.411
122,6.76609982306727,-2.07638633898703,0.418
123,6.821559657682576,-2.110716256109784,0.427
124,6.877019492297881,-2.133493754551502,0.433
125,6.932479326913187,-2.18954663847545,0.448
126,6.987939161528492,-2.226916626783139,0.458
127,7.0433989961437975,-2.2458148396972266,0.463
128,7.098858830759103,-2.290583079811843,0.475
129,7.154318665374409,-2.3242134111411543,0.484
130,7.2097784999897145,-2.3723649633620094,0.497
131,7.265238334605019,-2.4062817696140892,0.506
132,7.320698169220325,-2.4506978619317383,0.518
133,7.376158003835631,-2.48475312040699,0.527
134,7.431617838450936,-2.5405921974076544,0.542
135,7.487077673066242,-2.6003106712854374,0.558
136,7.542537507681547,-2.633728594716523,0.567
137,7.5979973422968525,-2.6823049627338307,0.58
138,7.653457176912158,-2.727144471822875,0.592
139,7.708917011527464,-2.786294192930294,0.608
140,7.76437684614277,-2.8274723091406746,0.619
141,7.819836680758074,-2.860817564572275,0.628
142,7.87529651537338,-2.93153575245446,0.647
143,7.930756349988686,-3.0023194671180633,0.666
144,7.986216184603991,-3.068938819276716,0.684
145,8.041676019219297,-3.1281556122833907,0.7
146,8.097135853834603,-3.1584739004808915,0.708
147,8.152595688449908,-3.188296103907512,0.716
148,8.208055523065214,-3.2403969229548566,0.73
149,8.26351535768052,-3.2884786052263415,0.743
150,8.318975192295825,-3.311039498694662,0.749
151,8.374435026911131,-3.3516430096717884,0.76
152,8.429894861526435,-3.395986433989953,0.772
153,8.48535469614174,-3.451467767093422,0.787
154,8.540814530757046,-3.4922154714071216,0.798
155,8.596274365372352,-3.525490856889352,0.807
156,8.651734199987658,-3.5770215241412746,0.821
157,8.707194034602963,-3.602894460741406,0.828
158,8.76265386921827,-3.6252443453365575,0.834
159,8.818113703833573,-3.6584469525494234,0.843
160,8.873573538448879,-3.687984080078333,0.851
161,8.929033373064184,-3.706313428872568,0.856
162,8.98449320767949,-3.7540432197097457,0.869
163,9.039953042294796,-3.776173444918725,0.875
164,9.095412876910101,-3.8242523291400956,0.888
165,9.150872711525407,-3.8538607256434334,0.896
166,9.206332546140713,-3.883821269943738,0.904
167,9.261792380756019,-3.9022204886873433,0.909
168,9.317252215371324,-3.920619707430948,0.914
169,9.372712049986628,-3.942613247153961,0.92
170,9.428171884601934,-3.9462788371077964,0.921
171,9.48363171921724,-3.953681285989895,0.923
172,9.539091553832545,-3.9868840034726403,0.932
173,9.59455138844785,-3.994286562624619,0.934
174,9.650011223063157,-4.02368255122973,0.942
175,9.705471057678462,-4.04941144058607,0.949
176,9.760930892293768,-4.0824730191450165,0.958
177,9.816390726909074,-4.097206647934786,0.962
178,9.87185056152438,-4.108203417796292,0.965
179,9.927310396139685,-4.119342725606654,0.968
180,9.982770230754989,-4.134070501933535,0.972
181,10.038230065370294,-4.1487328617488775,0.976
182,10.0936898999856,-4.152398451702713,0.977
183,10.149149734600906,-4.1707264014718906,0.982
184,10.204609569216212,-4.1743919914257255,0.983
185,10.260069403831517,-4.1743919914257255,0.983
186,10.315529238446823,-4.181723171333397,0.985
187,10.370989073062129,-4.181723171333397,0.985
188,10.426448907677434,-4.189054351241068,0.987
189,10.48190874229274,-4.200051121102574,0.99
190,10.537368576908044,-4.200051121102574,0.99
191,10.59282841152335,-4.203716711056409,0.991
192,10.648288246138655,-4.203716711056409,0.991
193,10.703748080753961,-4.211047890964081,0.993
194,10.759207915369267,-4.211047890964081,0.993
195,10.814667749984572,-4.222044660825587,0.996
196,10.870127584599878,-4.229375840733258,0.998
197,10.925587419215184,-4.233041430687093,0.999
198,10.98104725383049,-4.233041430687093,0.999
199,11.036507088445795,-4.233041430687093,0.999
200,11.091966923061099,-4.233041430687093,0.999
201,11.147426757676405,-4.233041430687093,0.999
202,11.20288659229171,-4.233112699661521,0.999
203,11.258346426907016,-4.233112699661521,0.999
204,11.313806261522322,-4.233112699661521,0.999
205,11.369266096137627,-4.233112699661521,0.999
206,11.424725930752933,-4.233112699661521,0.999
207,11.480185765368239,-4.233112699661521,0.999
208,11.535645599983544,-4.236778289615357,1.0
209,11.59110543459885,-4.236778289615357,1.0
210,11.646565269214154,-4.236778289615357,1.0
211,11.70202510382946,-4.236778289615357,1.0
212,11.757484938444765,-4.236778289615357,1.0
213,11.812944773060071,-4.236778289615357,1.0
214,11.868404607675377,-4.236778289615357,1.0
215,11.923864442290682,-4.236778289615357,1.0
216,11.979324276905988,-4.236778289615357,1.0
217,12.034784111521294,-4.236778289615357,1.0
218,12.0902439461366,-4.236778289615357,1.0
219,12.145703780751905,-4.236778289615357,1.0
220,12.20116361536721,-4.236778289615357,1.0
221,12.256623449982515,-4.236778289615357,1.0
222,12.31208328459782,-4.236778289615357,1.0
223,12.367543119213126,-4.236778289615357,1.0
224,12.423002953828432,-4.236778289615357,1.0
225,12.478462788443737,-4.236778289615357,1.0
226,12.533922623059043,-4.236778289615357,1.0
227,12.589382457674349,-4.236778289615357,1.0
228,12.644842292289654,-4.236778289615357,1.0
229,12.70030212690496,-4.236778289615357,1.0
230,12.755761961520266,-4.236778289615357,1.0
231,12.811221796135568,-4.236778289615357,1.0
232,12.866681630750874,-4.236778289615357,1.0
233,12.92214146536618,-4.236778289615357,1.0
234,12.977601299981485,-4.236778289615357,1.0
235,13.03306113459679,-4.236778289615357,1.0
236,13.088520969212096,-4.236778289615357,1.0
237,13.143980803827402,-4.236778289615357,1.0
238,13.199440638442708,-4.236778289615357,1.0
239,13.254900473058013,-4.236778289615357,1.0
240,13.310360307673319,-4.236778289615357,1.0
241,13.365820142288623,-4.236778289615357,1.0
242,13.421279976903929,-4.236778289615357,1.0
243,13.476739811519234,-4.236778289615357,1.0
244,13.53219964613454,-4.236778289615357,1.0
245,13.587659480749846,-4.236778289615357,1.0
246,13.643119315365151,-4.236778289615357,1.0
247,13.698579149980457,-4.236778289615357,1.0
248,13.754038984595763,-4.236778289615357,1.0
249,13.809498819211068,-4.236778289615357,1.0
250,13.864958653826374,-4.236778289615357,1.0
251,13.920418488441678,-4.236778289615357,1.0
252,13.975878323056984,-4.236778289615357,1.0
253,14.03133815767229,-4.236778289615357,1.0
254,14.086797992287595,-4.236778289615357,1.0
255,14.1422578269029,-4.236778289615357,1.0
256,14.197717661518206,-4.236778289615357,1.0
257,14.253177496133512,-4.236778289615357,1.0
258,14.308637330748818,-4.236778289615357,1.0
259,14.364097165364123,-4.236778289615357,1.0
260,14.419556999979429,-4.236778289615357,1.0
261,14.475016834594735,-4.236778289615357,1.0
262,14.530476669210039,-4.236778289615357,1.0
263,14.585936503825344,-4.236778289615357,1.0
264,14.64139633844065,-4.236778289615357,1.0
265,14.696856173055956,-4.236778289615357,1.0
266,14.752316007671261,-4.236778289615357,1.0
267,14.807775842286567,-4.236778289615357,1.0
268,14.863235676901873,-4.236778289615357,1.0
269,14.918695511517178,-4.236778289615357,1.0
270,14.974155346132484,-4.236778289615357,1.0
271,15.02961518074779,-4.236778289615357,1.0
272,15.085075015363094,-4.236778289615357,1.0
273,15.1405348499784,-4.236778289615357,1.0
274,15.195994684593705,-4.236778289615357,1.0
275,15.25145451920901,-4.236778289615357,1.0
276,15.306914353824316,-4.236778289615357,1.0
277,15.362374188439622,-4.236778289615357,1.0
278,15.417834023054928,-4.236778289615357,1.0
279,15.473293857670233,-4.236778289615357,1.0
280,15.52875369228554,-4.236778289615357,1.0
281,15.584213526900845,-4.236778289615357,1.0
282,15.639673361516149,-4.236778289615357,1.0
283,15.695133196131454,-4.236778289615357,1.0
284,15.75059303074676,-4.236778289615357,1.0
285,15.806052865362066,-4.236778289615357,1.0
286,15.861512699977371,-4.236778289615357,1.0
287,15.916972534592677,-4.236778289615357,1.0
288,15.972432369207983,-4.236778289615357,1.0
289,16.02789220382329,-4.236778289615357,1.0
290,16.083352038438594,-4.236778289615357,1.0
291,16.1388118730539,-4.236778289615357,1.0
292,16.194271707669206,-4.236778289615357,1.0
293,16.24973154228451,-4.236778289615357,1.0
294,16.305191376899817,-4.236778289615357,1.0
295,16.360651211515123,-4.236778289615357,1.0
296,16.41611104613043,-4.236778289615357,1.0
297,16.471570880745734,-4.236778289615357,1.0
298,16.52703071536104,-4.236778289615357,1.0
299,16.582490549976345,-4.236778289615357,1.0
300,16.63795038459165,-4.236778289615357,1.0
301,16.693410219206957,-4.236778289615357,1.0
302,16.748870053822262,-4.236778289615357,1.0
303,16.804329888437564,-4.236778289615357,1.0
304,16.85978972305287,-4.236778289615357,1.0
305,16.915249557668176,-4.236778289615357,1.0
306,16.97070939228348,-4.236778289615357,1.0
307,17.026169226898787,-4.236778289615357,1.0
308,17.081629061514093,-4.236778289615357,1.0
309,17.1370888961294,-4.236778289615357,1.0
310,17.192548730744704,-4.236778289615357,1.0
311,17.24800856536001,-4.236778289615357,1.0
312,17.303468399975316,-4.236778289615357,1.0
313,17.35892823459062,-4.236778289615357,1.0
314,17.414388069205927,-4.236778289615357,1.0
315,17.469847903821233,-4.236778289615357,1.0
316,17.52530773843654,-4.236778289615357,1.0
317,17.580767573051844,-4.236778289615357,1.0
318,17.636227407667146,-4.236778289615357,1.0
319,17.691687242282452,-4.236778289615357,1.0
320,17.747147076897758,-4.236778289615357,1.0
321,17.802606911513063,-4.236778289615357,1.0
322,17.85806674612837,-4.236778289615357,1.0
323,17.913526580743675,-4.236778289615357,1.0
324,17.96898641535898,-4.236778289615357,1.0
325,18.024446249974286,-4.236778289615357,1.0
326,18.07990608458959,-4.236778289615357,1.0
327,18.135365919204897,-4.236778289615357,1.0
328,18.190825753820203,-4.236778289615357,1.0
329,18.24628558843551,-4.236778289615357,1.0
330,18.301745423050814,-4.236778289615357,1.0
331,18.35720525766612,-4.236778289615357,1.0
332,18.412665092281426,-4.236778289615357,1.0
