t,x,y,z,dx,dy,dz
31.41,-5.887850732423495,-5.887839005661202,13.00002962304607,0.00011715640808596106,0.00016254609915833385,-2.8413375829927645e-05
31.42,-5.887849538156405,-5.887837390841903,13.000029260324128,0.00012135904801091613,0.00015999327751536896,-4.397202113537446e-05
31.43,-5.887848305242535,-5.8878358057956515,13.000028743605647,0.00012487811567041263,0.00015660287417951224,-5.917268364186157e-05
31.44,-5.8878470405940915,-5.8878342587844195,13.000028076870455,0.00012770013890772702,0.0001523996747909706,-7.393669676503123e-05
31.45,-5.887845751239757,-5.887832757802156,13.000027264871711,0.0001298154448825528,0.00014741256868511243,-8.818833956425465e-05
31.46,-5.887844444285194,-5.887831310533046,13.000026313103664,0.00013121827828754817,0.00014167448396662508,-0.00010185526333472694
31.470000000000002,-5.887843126874191,-5.887829924312476,13.000025227766445,0.0001319066906813049,0.0001352220523553882,-0.00011486877964372866
31.48,-5.88784180615138,-5.887828606091999,13.000024015728071,0.00013188262739660672,0.00012809549310155433,-0.00012716429118597716
31.490000000000002,-5.887840489221643,-5.887827362402614,13.000022684480621,0.0001311518067481643,0.0001203383010128789,-0.00013868151356177805
31.5,-5.887839183115245,-5.887826199325978,13.0000212420978,0.00012972369853869736,0.00011199700735708973,-0.00014936483259120337
31.51,-5.887837894747673,-5.887825122462467,13.00001969718397,0.00012761145145034902,0.00010312093201569894,-0.00015916354199063676
31.52,-5.887836630886216,-5.887824136907338,13.00001805882696,0.00012483174458566282,9.376183660592119e-05,-0.00016803205191706638
31.53,-5.887835398112781,-5.887823247225735,13.00001633654293,0.00012140474843214122,8.397370669932513e-05,-0.0001759301623494025
31.54,-5.887834202791248,-5.887822457433204,13.000014540223713,0.00011735389442435462,7.381236390990864e-05,-0.00018282312685968805
31.55,-5.887833051034892,-5.887821770978457,13.000012680080394,0.0001127058255168123,6.333522537538272e-05,-0.00018868193789600696
31.560000000000002,-5.887831948674737,-5.887821190728697,13.000010766584955,0.00010749012879784914,5.260092601488964e-05,-0.0001934832733141434
31.57,-5.8878309012323164,-5.8878207189599365,13.000008810414927,0.00010173923321588063,4.166902454194599e-05,-0.00019720973671866204
31.580000000000002,-5.887829913890073,-5.887820357348206,13.00000682239022,9.548822164084925e-05,3.0599704148315254e-05,-0.00019984987771337615
