t,x,y,z
37.6,-5.887839434219888,-5.887838649753022,13.000000314976253
37.61,-5.887839359220693,-5.88783864427789,13.00000012582257
37.62,-5.887839291341594,-5.887838649208748,12.99999993748109
37.63,-5.887839230890686,-5.887838664437459,12.999999750955398
37.64,-5.8878391781333494,-5.887838689801475,12.999999567230297
37.65,-5.8878391332917825,-5.887838725085159,12.999999387268291
37.660000000000004,-5.887839096544513,-5.887838770021346,12.99999921200558
37.67,-5.887839068024811,-5.887838824293352,12.99999904234436
37.68,-5.887839047820647,-5.887838887537047,12.999998879149132
37.69,-5.887839035975168,-5.887838959342662,12.999998723244829
37.7,-5.887839032486225,-5.887839039257983,12.999998575410011
37.71,-5.887839037306764,-5.887839126791225,12.999998436372927
37.72,-5.887839050345617,-5.887839221413233,12.999998306809799
37.730000000000004,-5.887839071468341,-5.887839322560738,12.999998187341383
37.74,-5.887839100498204,-5.8878394296405,12.9999980785284
37.75,-5.887839137217492,-5.887839542032315,12.999997980869791
37.76,-5.887839181368817,-5.887839659091341,12.999997894802139
37.77,-5.887839232657125,-5.887839780153462,12.999997820695684
37.78,-5.887839290751602,-5.887839904538879,12.999997758853155
37.79,-5.887839355287203,-5.887840031554389,12.999997709509861
37.800000000000004,-5.887839425867229,-5.887840160498088,12.99999767283235
37.81,-5.887839502066044,-5.887840290664051,12.999997648917507
37.82,-5.8878395834312265,-5.887840421345336,12.999997637793028
37.83,-5.887839669485585,-5.887840551836571,12.99999763941828
37.84,-5.887839759731086,-5.8878406814399336,12.999997653684337
37.85,-5.88783985365148,-5.887840809468387,12.999997680415314
37.86,-5.887839950714045,-5.887840935247449,12.999997719369931
37.87,-5.887840050373633,-5.887841058120321,12.999997770243318
37.88,-5.887840152076011,-5.887841177451716,12.999997832669237
37.89,-5.887840255260085,-5.887841292629989,12.999997906222285
37.9,-5.887840359360539,-5.8878414030696655,12.999997990420475
37.910000000000004,-5.887840463812365,-5.887841508216231,12.999998084728958
37.92,-5.887840568053429,-5.887841607548253,12.999998188563106
37.93,-5.88784067152602,-5.887841700578348,12.999998301290983
37.94,-5.8878407736814555,-5.887841786857278,12.999998422238386
37.95,-5.887840873982997,-5.887841865976085,12.999998550692911
37.96,-5.887840971907471,-5.887841937566872,12.99999868590686
37.97,-5.88784106694819,-5.887842001304648,12.999998827101802
37.980000000000004,-5.887841158618632,-5.887842056909674,12.99999897347423
37.99,-5.887841246454329,-5.887842104148134,12.99999912419942
38.0,-5.887841330013977,-5.887842142832146,12.999999278434318
38.01,-5.887841408883303,-5.887842172821593,12.99999943532466
38.02,-5.887841482676861,-5.887842194024289,12.999999594009385
38.03,-5.887841551038746,-5.887842206395551,12.999999753623312
38.04,-5.8878416136449445,-5.887842209938353,12.999999913303077
38.050000000000004,-5.88784167020534,-5.887842204703144,13.000000072192755
38.06,-5.887841720464489,-5.887842190787042,13.000000229447338
38.07,-5.887841764202092,-5.8878421683328215,13.000000384235708
38.08,-5.887841801235021,-5.887842137527929,13.00000053574774
38.09,-5.887841831417731,-5.887842098603043,13.000000683197873
38.1,-5.887841854642076,-5.887842051830755,13.000000825826925
38.11,-5.88784187083817,-5.887841997523487,13.000000962907965
38.12,-5.8878418799745456,-5.887841936031387,13.000001093750399
38.13,-5.887841882057762,-5.887841867740524,13.000001217702065
38.14,-5.887841877131973,-5.887841793070672,13.000001334151909
38.15,-5.887841865278676,-5.887841712472084,13.000001442534945
38.160000000000004,-5.887841846615874,-5.887841626423055,13.000001542334232
38.17,-5.887841821297155,-5.887841535428114,13.000001633081594
38.18,-5.887841789510535,-5.88784144001393,13.000001714361654
38.19,-5.887841751477137,-5.887841340726262,13.0000017858136
38.2,-5.887841707449982,-5.8878412381278995,13.000001847131587
38.21,-5.887841657712292,-5.887841132795217,13.000001898066204
38.22,-5.887841602575443,-5.887841025314044,13.000001938426204
38.230000000000004,-5.887841542377251,-5.887840916276979,13.000001968078637
38.24,-5.8878414774804915,-5.887840806281404,13.000001986948364
38.25,-5.887841408269923,-5.8878406959244085,13.000001995018986
38.26,-5.887841335150118,-5.887840585799805,13.000001992332258
38.27,-5.887841258543974,-5.887840476496434,13.000001978987102
38.28,-5.887841178889714,-5.887840368594065,13.000001955138764
38.29,-5.887841096638008,-5.887840262659701,13.000001920997596
38.300000000000004,-5.8878410122499085,-5.887840159245331,13.000001876827483
38.31,-5.887840926194946,-5.887840058886042,13.000001822944094
38.32,-5.887840838947431,-5.887839962095712,13.00000175971252
38.33,-5.8878407509842505,-5.8878398693649565,13.000001687545032
38.34,-5.88784066278284,-5.887839781159263,13.000001606898934
38.35,-5.887840574817778,-5.887839697915783,13.000001518273093
38.36,-5.887840487558428,-5.887839620041399,13.000001422205068
38.37,-5.887840401467327,-5.887839547911699,13.000001319268607
38.38,-5.887840316996774,-5.887839481868194,13.000001210069437
38.39,-5.887840234586546,-5.887839422216845,13.000001095241768
38.4,-5.887840154662454,-5.887839369227363,13.000000975445694
38.410000000000004,-5.8878400776334265,-5.887839323131465,13.000000851362476
38.42,-5.887840003889331,-5.887839284121856,13.000000723690555
38.43,-5.887839933799816,-5.887839252352047,13.000000593142774
38.44,-5.887839867711978,-5.887839227935523,13.00000046044168
38.45,-5.8878398059484125,-5.887839210945295,13.000000326315096
38.46,-5.887839748806281,-5.88783920141409,13.000000191493353
38.47,-5.887839696555705,-5.887839199334428,13.000000056704895
